Id,C_Dealer,C_Freight,C_Volume,C_BaseBoat,C_Engine,C_Series,C_Options,C_Prep,C_DealerName,C_DealerId,C_Enabled
7f4d0e9a-615d-4c8d-8d44-b2c300fd875c,1c564d87-463d-47e5-8bef-b2490154e84b,1000,37.0,37.0,37.0,M,37.0,1000,"CULVER'S PORTSIDE MARINA, INC.",70000.0,False
d0440aa6-0841-4d1d-990b-b2c300fd875c,9e92eb49-1d66-4b02-9405-b2490154e874,0.0,10.0,37.0,37.0,M,37.0,0.0,"DAGATE'S MARINE, INC.",70200.0,False
a67d883c-bfca-4707-b88a-b2c300fd875c,f1979439-63c1-42d0-b4aa-b2490154e800,1000,37.0,37.0,37.0,M,37.0,1000,CREATIVE MARINE&CANVAS*DO NOT SHIP EVER*,65332.0,False
c069234b-6464-4ef3-8d27-b2c300fd875d,7439da5a-96c8-4b89-a868-b2490154e8ce,1000,37.0,37.0,37.0,M,37.0,1000,DAHLS WENATCHEE WATER SPORTS,70500.0,False
73d0a972-8ef9-4cb0-999f-b2c300fd875d,1980b0de-4b46-45f3-9902-b2490154e89b,1000,37.0,37.0,37.0,M,37.0,1000,CULVER MARINE,70100.0,False
c1df5103-8de0-4013-8900-b2c300fd875e,55522442-ded6-4895-884a-b2490154e92a,1000,37.0,37.0,37.0,M,37.0,1000,DANIAL HAHN,71000.0,False
bf60deac-da11-449b-b4d7-b2c300fd875e,9380d584-ed2d-470f-8f21-b2490154e8f2,1000,37.0,37.0,37.0,M,37.0,1000,HARRIS MARINE,71050.0,False
fd1b0fd6-7565-4eb1-b31c-b2c300fd875f,b8c679f6-cde8-4554-b6ad-b2490154e964,1000,37.0,37.0,37.0,M,37.0,1000,DAVIS MARINE INC,76850.0,False
b74ec090-017b-43f4-b943-b2c300fd875f,f84c53a5-83ba-48df-89d3-b2490154e994,1000,37.0,37.0,37.0,M,37.0,1000,D & S MARINE,72500.0,False
77ed6931-f125-4bf3-a91d-b2c300fd8760,dcf04f3c-664e-43c5-89ca-b2490154e9e7,1000,37.0,37.0,37.0,M,37.0,1000,D & D BOATS SALES,72000.0,False
b04bdffe-3d5e-4450-a991-b2c300fd8760,457d42e3-3834-4e6c-97d2-b2490154ea1c,1000,37.0,37.0,37.0,M,37.0,1000,DESTIN MARINA SHOP  *****,80499.0,False
3ea96033-1ba2-408d-8a88-b2c300fd8766,4286bfc4-50af-4bf5-9736-b2490154ea84,1000,37.0,37.0,37.0,M,37.0,1000,DEAD RIVER MARINA,77000.0,False
1874257d-6a1c-4816-a87b-b2c300fd8766,8bc2504f-1b8b-40bd-a188-b2490154ea54,1000,37.0,37.0,37.0,M,37.0,1000,DAY ISLAND BOATWORKS LLC,76900.0,False
f1e30c16-5ec9-42b0-895e-b2c300fd8767,548247a4-6eb5-47d7-88b7-b2490154eab0,1000,37.0,37.0,37.0,M,37.0,1000,CURVE FISHING & MARINE,71008.0,False
a1785dde-626c-4d10-b2be-b2c300fd8767,15a7f160-246a-4923-9633-b2490154eae1,1000,37.0,37.0,37.0,M,37.0,1000,DENNY'S MARINE INC (FW)-DO NOT USE,80456.0,False
658e0030-94aa-490c-89a4-b2c300fd8768,b3ba9e3c-7252-4139-a851-b2490154eb8f,0.0,10.0,37.0,37.0,M,37.0,0.0,DEEP CREEK MARINA LLC,77400.0,False
cf1d7a60-00c2-419c-9975-b2c300fd8768,6f00a853-0f92-439c-964b-b2490154eb2e,1000,37.0,37.0,37.0,M,37.0,1000,DINBOKOWITZ MARINE,85200.0,False
572323d7-e9a3-4151-b059-b2c300fd8769,9275bfe6-532d-488f-8551-b2490154ebc0,1000,37.0,37.0,37.0,M,37.0,1000,DISCOVERY POWER BOATS,85303.0,False
eebbfa6f-d05b-4ca5-ab81-b2c300fd876a,f8bb4a31-ee8d-41dc-9e14-b2490154ec40,1000,37.0,37.0,37.0,M,37.0,1000,DISCOVERY POWER BOATS,85300.0,False
9b207576-e27f-4354-b414-b2c300fd876a,e3edce9a-eed3-4054-acfd-b2490154ec7c,1000,37.0,37.0,37.0,M,37.0,1000,DISCOVERY POWER BOATS,85301.0,False
5f9e504a-ce46-4b02-864f-b2c300fd876b,92b3dd7a-d3cf-4453-ab49-b2490154ed16,1000,37.0,37.0,37.0,M,37.0,1000,DARRELL'S MARINE SALES,76792.0,False
f7132e96-ae22-4f50-8c70-b2c300fd876b,a4c2377b-bfce-4459-ad20-b2490154ece7,1000,37.0,37.0,37.0,M,37.0,1000,DISCOVERY POWER BOATS,85304.0,False
427f2852-b381-46f0-af1a-b2c300fd876b,bd743e46-0e95-4aef-8894-b2490154eca4,0.0,10.0,37.0,37.0,M,37.0,0.0,"DIXIE CAMPER SALES, INC.",85400.0,False
caabdff9-854f-4027-82b0-b2c300fd876c,e5a461ae-037c-4cb7-938d-b2490154ed50,1000,37.0,37.0,37.0,M,37.0,1000,SMG WAKE OF HOUSTON,76801.0,False
c27e4786-85c0-4afa-a1ad-b2c300fd876c,f1f68681-6965-477a-b32a-b2490154ed83,1000,37.0,37.0,37.0,M,37.0,1000,DENNY'S MARINA INC (PERU)-DO NOT USE,80461.0,False
6e97d012-c24c-4fd7-85a4-b2c300fd876d,c8e7f502-f972-49c3-9347-b2490154ee43,0.0,10.0,37.0,37.0,M,37.0,0.0,DON JOHNSON MOTORS,90074.0,False
47f5b679-4986-4b66-ae81-b2c300fd876d,367ec13d-b60f-4751-9b04-b2490154ede3,1000,37.0,37.0,37.0,M,37.0,1000,DISCOVERY POWER BOATS,85302.0,False
1a25f03f-8d41-4244-b6ec-b2c300fd876d,c6b34282-776a-4888-8b5d-b2490154edae,1000,37.0,37.0,37.0,M,37.0,1000,DELL MARINE LLC,80000.0,False
ef70565b-41cc-4408-859b-b2c300fd876e,794cd25f-ec72-4e83-8daf-b2490154ee81,0.0,10.0,37.0,37.0,M,37.0,0.0,DRY DOCK MARINE CENTER,93295.0,False
402402d8-ffe1-422e-93dc-b2c300fd876e,3cdf5579-0f59-427d-993b-b2490154eec2,1000,37.0,37.0,37.0,M,37.0,1000,AA MARIE & SMALL ENGINES,942.0,False
5e387ee7-f3a4-402e-91d9-b2c300fd876f,5d04c231-ee98-409e-b975-b2490154ef1e,1000,37.0,37.0,37.0,M,37.0,1000,DRYDOCK PLEASURE MAR INC,93296.0,False
b0d4c355-84c8-49f6-b60b-b2c300fd876f,9b84575e-a6b9-4b63-9393-b2490154ef84,1000,37.0,37.0,37.0,M,37.0,1000,DUCHOW'S BOAT CENTER,95600.0,False
8e11db0f-ecc6-4100-9de0-b2c300fd8770,7ce271da-e069-453b-8f52-b2490154efd8,1000,37.0,37.0,37.0,M,37.0,1000,DOUG RUSSELL MARINE,90055.0,False
8403163c-eb92-4f87-a68c-b2c300fd8770,6cefba0e-c6b5-4da8-af9c-b2490154f044,1000,37.0,37.0,37.0,M,37.0,1000,DUSTERFIELD DESIGNS,95800.0,False
6138fef0-0f91-4681-aee3-b2c300fd8770,c7e4cad9-9474-40f8-bd67-b2490154f00f,0.0,10.0,37.0,37.0,M,37.0,0.0,DT POWERSPORTS,95300.0,False
